"Location","lat","long"
"Waymart, PA, USA",41.5803625,-75.4082366
"Staples, MN, USA",46.3550001,-94.7933333
"Court Granger, IA, USA",41.7581484,-93.8223917
"Kintnersville, PA, USA",40.5570457,-75.179619
"New Milford, PA, USA",41.8761434,-75.7265607
"Sharon, MA, USA",42.1237328,-71.1787282
"Clinton, PA, USA",41.2711458,-77.6984481
"Becket, MA, USA",42.3323727,-73.0837627
"Dunkirk, NY, USA",42.483224,-79.3345605
"Pillager, MN, USA",46.3299668,-94.4741744
"Derry, NH, USA",42.8808677,-71.3264492
"Delran, NJ, USA",40.0154905,-74.9550416
"Red Lodge, MT, USA",45.1859038,-109.2470622
"White Salmon, WA, USA",45.7276194,-121.4864619
"Ithaca, NY, USA",42.4374175,-76.5483724
"East Helena, MT, USA",46.5895782,-111.914593
"Jordan, MN, USA",44.6663146,-93.6261918
"Rochester, NH, USA",43.3050758,-70.9753978
"Wrightstown, WI, USA",44.3261356,-88.1628482
"Enterprise, OR, USA",45.4258114,-117.278012
"Dunmore, PA, USA",41.4198027,-75.6324112
"Slippery Rock, PA, USA",41.0640395,-80.0564928
"Amherst, NY, USA",42.9783924,-78.7997616
"Sandy, OR, USA",45.3969212,-122.2616283
"Emmitsburg, MD, USA",39.7045417,-77.3269307
"Murfreesboro, TN, USA",35.8460396,-86.3921096
"North Manchester, IN, USA",41.0006005,-85.768597
"Columbus, MT, USA",45.6366114,-109.252154
"Monticello , NY, USA",41.6556465,-74.6893282
"Peru, MA, USA",42.4378398,-73.0461176
"Sandwich, IL, USA",41.6458633,-88.6217432
"Alexander, NY, USA",42.9011711,-78.2566834
"Kittanning, PA, USA",40.8164531,-79.5219893
"Watsonville, CA, USA",36.9092773,-121.7529071
"Malvern, IA, USA",41.0024095,-95.5851939
"Union Grove, WI, USA",42.6876539,-88.0518383
"Livingston, MT, USA",45.6623873,-110.5615899
"Poland Springs, ME, USA",43.979257,-70.5634939
"Jarrettsville, MD, USA",39.6045996,-76.4770755
"Alexis, IL, USA",41.0633703,-90.5559675
"Santa Paula, CA, USA",34.3541659,-119.0592705
"Ashby , MA, USA",42.6776715,-71.8198282
"Ellicottville, NY, USA",42.2751873,-78.6727799
"Suring, WI, USA",44.9990029,-88.3705381
"Canfield, OH, USA",41.025059,-80.760912
"Gresham, OR, USA",45.4978623,-122.4329883
"Asheboro, NC, USA",35.7079146,-79.8136446
"Stony Point , NY, USA",41.2295386,-73.9870847
"Amherst, NH, USA",42.8642874,-71.6252484
"Glenwood, NY, USA",40.9506137,-73.8987606
"Keystone Heights, FL, USA",29.7860769,-82.0314892
"Woodstock, IL, USA",42.3147529,-88.4474302
"Winterset, IA, USA",41.3374711,-94.0227208
